Batter,Bowler,dismissed,match_played,runs_scored,ball_faced,average,strike_rate,batsman_impact
JC Buttler,AJ Tye,0,3,22,16,22.0,137.5,0.996875
JC Buttler,Navdeep Saini,0,3,19,16,19.0,118.75,0.8609375
JC Buttler,VR Aaron,0,2,16,9,16.0,177.778,1.2111125
JC Buttler,TU Deshpande,0,1,2,2,2.0,100.0,0.6375
JC Buttler,NM Coulter-Nile,0,1,1,2,1.0,50.0,0.31875
JC Buttler,KL Nagarkoti,0,1,11,7,11.0,157.143,1.05089375
JC Buttler,AF Milne,0,1,13,4,13.0,325.0,2.1125
JC Buttler,Shakib Al Hasan,0,3,9,10,9.0,90.0,0.61875
JC Buttler,DL Chahar,0,6,63,44,63.0,143.182,1.2886374999999999
JC Buttler,TK Curran,0,1,7,3,7.0,233.333,1.50208125
JC Buttler,J Yadav,0,1,21,11,21.0,190.909,1.32443125
JC Buttler,CH Morris,0,5,37,19,37.0,194.737,1.44835625
JC Buttler,SM Curran,0,3,25,15,25.0,166.667,1.19791875
JC Buttler,MC Henriques,0,1,5,3,5.0,166.667,1.07291875
JC Buttler,Mohammad Nabi,0,1,20,5,20.0,400.0,2.625
JC Buttler,PP Chawla,0,3,31,22,31.0,140.909,1.07443125
JC Buttler,I Sharma,0,2,11,8,11.0,137.5,0.928125
JC Buttler,DS Kulkarni,0,1,5,8,5.0,62.5,0.421875
JC Buttler,A Mishra,0,2,8,7,8.0,114.286,0.7642875
JC Buttler,Imran Tahir,0,3,19,11,19.0,172.727,1.19829375
JC Buttler,CR Woakes,0,3,20,18,20.0,111.111,0.8194437499999999
JC Buttler,JA Richardson,0,1,1,2,1.0,50.0,0.31875
JC Buttler,Harbhajan Singh,0,1,19,8,19.0,237.5,1.603125
JC Buttler,Mujeeb Ur Rahman,0,4,54,41,54.0,131.707,1.16066875
JC Buttler,S Nadeem,0,3,15,8,15.0,187.5,1.265625
JC Buttler,BA Stokes,0,2,12,7,12.0,171.429,1.14643125
JC Buttler,JL Pattinson,0,1,6,7,6.0,85.714,0.5732125
JC Buttler,I Udana,0,2,17,7,17.0,242.857,1.6241062499999999
JC Buttler,SS Cottrell,0,1,1,3,1.0,33.333,0.21458125
JC Buttler,AS Rajpoot,0,3,27,16,27.0,168.75,1.2234375
JC Buttler,KV Sharma,0,1,6,4,6.0,150.0,0.975
JC Buttler,MM Sharma,0,3,31,16,31.0,193.75,1.4046875
JC Buttler,MJ McClenaghan,0,1,12,12,12.0,100.0,0.7
JC Buttler,HF Gurney,0,1,8,6,8.0,133.333,0.88333125
JC Buttler,K Khejroliya,0,1,1,1,1.0,100.0,0.63125
JC Buttler,STR Binny,0,2,3,4,3.0,75.0,0.4875
JC Buttler,BB Sran,0,1,1,3,1.0,33.333,0.21458125
JC Buttler,P Negi,0,2,6,4,6.0,150.0,0.975
JC Buttler,KC Cariappa,0,1,2,4,2.0,50.0,0.325
JC Buttler,JP Behrendorff,0,1,12,4,12.0,300.0,1.95
JC Buttler,YK Pathan,0,1,5,4,5.0,125.0,0.8125
JC Buttler,LE Plunkett,0,1,12,4,12.0,300.0,1.95
JC Buttler,SR Watson,0,5,15,14,15.0,107.143,0.76339375
JC Buttler,Bipul Sharma,0,1,5,5,5.0,100.0,0.65625
JC Buttler,Z Khan,0,2,10,9,10.0,111.111,0.75694375
